"Labour force characteristics by gender and detailed age group, monthly, unadjusted for seasonality 1 2"
"Frequency: Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Release date: 2026-02-06"
"Geography: Canada, Province or territory"
""
""

,,,"Labour force characteristics","Employment 6  (x 1,000)","Unemployment rate 7"
"Geography 3","Gender 4 5","Age group","Reference period"
,,,,"Persons in thousands","Percent"
"Newfoundland and Labrador","Total - Gender","15 years and over","January 2016","220.7","16.7"
,,,"December 2018","1,265.5","4.5"
,,,"January 2019","1,262.9","4.5"
,,,"February 2019","1,268.0","4.4"
,,,"March 2019","1,267.7","4.7"
,,,"April 2019","1,274.4","4.5"
,,,"May 2019","1,294.3","4.7"
,,,"June 2019","1,309.7","4.3"
,,,"July 2019","1,286.0","5.1"
,,,"August 2019","1,280.7","6.2"
,,,"September 2019","1,278.6","5.0"
,,,"October 2019","1,285.1","4.9"
,,,"November 2019","1,271.5","5.5"
,,,"December 2019","1,275.7","4.5"
,,,"January 2020","1,255.0","4.9"
,,,"February 2020","1,261.9","4.9"
,,,"March 2020","1,161.7","8.9"
,,,"April 2020","1,042.0","11.9"
,,,"May 2020","1,082.3","13.9"
,,,"June 2020","1,161.2","12.5"
,,,"July 2020","1,182.0","11.2"
,,,"August 2020","1,186.3","12.2"
,,,"September 2020","1,247.9","7.5"
,,,"October 2020","1,267.9","6.9"
,,,"November 2020","1,267.2","7.4"
,,,"December 2020","1,250.0","7.1"
,,,"January 2021","1,235.6","8.4"
,,,"February 2021","1,252.7","7.3"
,,,"March 2021","1,265.8","7.8"
,,,"April 2021","1,263.5","6.6"
,,,"May 2021","1,256.6","6.9"
,,,"June 2021","1,278.7","6.3"
,,,"July 2021","1,267.8","7.3"
,,,"August 2021","1,270.1","8.9"
,,,"September 2021","1,288.5","6.1"
,,,"October 2021","1,283.0","4.8"
,,,"November 2021","1,296.1","4.7"
,,,"December 2021","1,291.9","3.7"
,,,"January 2022","1,293.2","4.4"
,,,"February 2022","1,316.3","4.0"
,,,"March 2022","1,313.3","4.9"
,,,"April 2022","1,322.1","4.3"
,,,"May 2022","1,342.7","4.5"
,,,"June 2022","1,343.1","4.9"
,,,"July 2022","1,339.6","5.3"
,,,"August 2022","1,331.9","6.2"
,,,"September 2022","1,350.0","4.2"
,,,"October 2022","1,360.9","3.9"
,,,"November 2022","1,360.8","3.2"
,,,"December 2022","1,353.0","3.0"
,,,"January 2023","1,336.8","4.4"
,,,"February 2023","1,363.9","4.9"
,,,"March 2023","1,362.5","4.6"
,,,"April 2023","1,372.8","4.4"
,,,"May 2023","1,366.7","5.1"
,,,"June 2023","1,372.7","5.7"
,,,"July 2023","1,351.3","6.7"
,,,"August 2023","1,359.1","7.2"
,,,"September 2023","1,371.7","4.7"
,,,"October 2023","1,369.6","4.8"
,,,"November 2023","1,366.5","4.9"
,,,"December 2023","1,371.0","4.8"
,,,"January 2024","1,356.0","5.6"
,,,"February 2024","1,375.0","5.2"
,,,"March 2024","1,381.2","5.8"
,,,"April 2024","1,395.5","4.9"
,,,"May 2024","1,402.8","5.5"
,,,"June 2024","1,398.8","5.3"
,,,"July 2024","1,381.4","6.3"
,,,"August 2024","1,375.1","7.1"
,,,"September 2024","1,376.7","5.8"
,,,"October 2024","1,383.3","5.7"
,,,"November 2024","1,371.6","5.5"
,,,"December 2024","1,370.7","5.3"
,,,"January 2025","1,367.6","6.7"
,,,"February 2025","1,376.2","5.9"
,,,"March 2025","1,396.9","6.3"
,,,"April 2025","1,399.5","6.3"
,,,"May 2025","1,411.6","6.3"
,,,"June 2025","1,424.2","5.5"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are suppressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
3,"Excluding the territories."
4,"Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (for example, clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. LFS started collecting gender of person in 2022. Prior to 2022, LFS only collected information on sex of person (male or female), as declared by the respondent or recorded by the interviewer. The sex variable prior to 2022 and the two-category gender variable since 2022 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
5,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category "non-binary persons" are distributed into the other two gender categories and are denoted by the "+" symbol. The category "Men+" includes men, as well as some non-binary persons, while the category "Women+" includes women, as well as some non-binary persons."
6,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
7,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, gender, marital status, etcetera) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."



"How to cite: Statistics Canada. Table 14-10-0017-01  Labour force characteristics by gender and detailed age group, monthly, unadjusted for seasonality (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410001701
